0,1,2,3,4,5,6,7,8,9
"
MBWS



","10,6500","-0,2500","-2,29%",2,384,"10,9000","10,9000","10,6500",29.12 16:07
"
MCI



","23,7000","-0,7000","-2,87%",78,575 210,"24,4000","25,3000","23,7000",02.01 16:49
"
MDIENERGIA



","2,0000","-0,0800","-3,85%",103,141 292,"2,0900","2,1500","1,9300",02.01 16:49
"
MEDICALG



","30,6000","0,0500","0,16%",390,430 607,"31,3500","31,4000","30,1500",02.01 17:02
"
MEDINICE



","11,4000","1,6000","16,33%",267,655 154,"9,8000","11,4500","9,8000",02.01 17:04
"
MEGARON



","9,5000","0,0000","0,00%",1,48,"9,5000","9,5000","9,5000",22.12 11:22
"
MENNICA



","17,0500","0,2500","1,49%",24,23 478,"16,8000","17,0500","16,7500",02.01 17:04
"
MERCATOR



","42,0000","0,5000","1,20%",178,558 557,"41,4000","42,7800","41,4000",02.01 17:00
"
MERCOR



","29,7000","0,5000","1,71%",27,47 614,"28,8000","30,8000","27,6000",02.01 16:38
"
MEXPOLSKA



","4,0000","0,0400","1,01%",19,2 881,"3,8700","4,0000","3,8400",02.01 10:42
"
MFO



","34,2000","0,3000","0,88%",13,18 381,"35,9000","35,9000","33,7000",02.01 16:42
"
MILKILAND



","0,5660","-0,0030","-0,53%",15,5 366,"0,5550","0,5690","0,5500",02.01 16:35
"
MILLENNIUM



","8,1000","-0,2550","-3,05%",1 802,8 322 534,"8,3500","8,3900","7,9000",02.01 17:00
"
MIRACULUM



","1,2700","-0,0100","-0,78%",18,50 346,"1,2800","1,2800","1,2300",02.01 17:00
"
MIRBUD



","8,1600","-0,0300","-0,37%",719,1 729 090,"8,3500","8,3600","8,0200",02.01 17:02
"
MLPGROUP



","72,0000","1,0000","1,41%",11,7 396,"73,4000","73,4000","70,8000",02.01 16:48
"
MLPGROUP-PDA



","70,0000","0,0000","0,00%",1,910 000,"70,0000","70,0000","70,0000",15.12 09:32
"
MLSYSTEM



","53,2000","-0,8000","-1,48%",203,347 761,"54,5000","55,7000","53,2000",02.01 17:02
